case,architecture,context_len,scenario,num_clients,dcn_bandwidth_gbps,request_id,input_len,output_len,arrival_time_ms,ttft_ms,cache_retrieval_latency_ms,end_to_end_latency_ms
A,Dedicated per-client,4096,private,128,,354,408,93,1411.5212154930095,33.928134812304506,5.099999999999909,1332.3503943462497
A,Dedicated per-client,4096,private,128,,296,420,106,1162.8857219473182,42.18781965424546,5.099999999999909,1584.3833767666408
A,Dedicated per-client,4096,private,128,,107,165,164,401.9432805389924,38.13787871508265,5.100000000000023,2350.409804565656
A,Dedicated per-client,4096,private,128,,391,4086,55,1607.1199494580462,243.5851804476672,5.099999999999909,1151.8352596965613
A,Dedicated per-client,4096,private,128,,263,1352,103,1030.7790314096796,84.20944388023008,5.099999999999909,1735.814340162031
A,Dedicated per-client,4096,private,128,,299,3210,98,1166.6656639312891,191.78493584968828,5.099999999999909,1601.579807884078
A,Dedicated per-client,4096,private,128,,616,120,12,2587.606273044761,31.469425296193094,5.099999999999909,187.22127406184745
A,Dedicated per-client,4096,private,128,,31,209,179,138.24740421016105,26.413165617721802,5.099999999999994,2647.6117137665256
A,Dedicated per-client,4096,private,128,,172,181,144,618.4129869255595,36.34714449420119,5.100000000000023,2167.4461310511274
A,Dedicated per-client,4096,private,128,,358,622,88,1442.654076338004,64.3638678623613,5.099999999999909,1348.2050060603788
A,Dedicated per-client,4096,private,128,,287,403,114,1124.7852271853092,38.44994415659289,5.099999999999909,1672.0256701391006
A,Dedicated per-client,4096,private,128,,366,383,88,1487.670807224634,33.4721212192278,5.099999999999909,1311.1019209874542
A,Dedicated per-client,4096,private,128,,425,1690,63,1772.0482383310855,113.67980209774782,5.099999999999909,1070.626542171493
A,Dedicated per-client,4096,private,128,,367,398,87,1501.5294844703958,41.367141029542154,5.099999999999909,1348.2625915008598
A,Dedicated per-client,4096,private,128,,483,4078,42,2012.0245856938675,234.83444613285405,5.099999999999909,852.8734891781144
A,Dedicated per-client,4096,private,128,,281,402,126,1094.7814198549427,33.599604691311015,5.099999999999909,1783.0954774624884
A,Dedicated per-client,4096,private,128,,641,120,12,2682.6378377900614,32.13110996502792,5.099999999999909,199.60523167375277
A,Dedicated per-client,4096,private,128,,338,1115,104,1332.6951543446182,80.71328876094844,5.099999999999909,1558.8161585830242
A,Dedicated per-client,4096,private,128,,261,408,129,1025.0395098469464,43.56604885787624,5.099999999999909,1866.3817240931724
A,Dedicated per-client,4096,private,128,,455,2822,58,1913.4193523768251,174.18292371954135,5.099999999999909,995.5480131524289
A,Dedicated per-client,4096,private,128,,342,391,106,1355.4931091793464,37.31908661699845,5.099999999999909,1561.334791620472
A,Dedicated per-client,4096,private,128,,383,4084,68,1570.6744977658877,256.9490460192287,5.099999999999909,1347.326932778215
A,Dedicated per-client,4096,private,128,,527,386,48,2214.137938375449,43.04169577152106,5.099999999999909,712.8659575387628
A,Dedicated per-client,4096,private,128,,285,397,112,1117.7927612997473,67.57357059994933,5.099999999999909,1832.269154261001
A,Dedicated per-client,4096,private,128,,318,913,100,1243.7035356967385,73.69748475011261,5.099999999999909,1708.6044049841898
A,Dedicated per-client,4096,private,128,,6,181,186,40.89850759193616,26.16801729285401,5.100000000000001,2919.8315307367534
A,Dedicated per-client,4096,private,128,,357,913,103,1433.127771629877,66.67418741956385,5.099999999999909,1531.071962929376
A,Dedicated per-client,4096,private,128,,91,1313,169,340.85147446099836,82.04536369911148,5.100000000000023,2632.8145633890917
A,Dedicated per-client,4096,private,128,,373,1737,89,1520.852862503285,109.69826500314412,5.099999999999909,1454.606659142637
A,Dedicated per-client,4096,private,128,,505,4072,42,2084.1739831639006,247.19254665241488,5.099999999999909,892.7876286983237
